员工ID,工号,姓名,所属科室,拟岗位,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好,_summary,所属分组,近期工作任务,手头项目,工作类型,应用领域,工作饱和度,科室周报联动,考试成绩,成绩等级,代码行数,迟到次数,月度加班时长,技能匹配度,经验丰富度,吃苦耐劳度,创新潜力
11,300011,史墨,信息管理部,数据分析,27.3,女,本科,0.2,3.6,3.76,2,1,1,1,1,2,8.0,0,0,1,0,0,0,0,1,0,无,2,1,0,5,1,1,0,2,23,是,3,3,4,5,3,3,3,2,3,4,4,2,5,2,4,A+,B,B+,编程,跑步,史墨（信息管理部/数据分析） | 女，27.3岁，本科，行龄0.2年 | 绩效3.76分，日均工时8.0h，牵头项目2个 | 最强技能：SQL开发(5分)、营销运营能力(4分)、编程与工程实现(4分) | 软技能：任务拆解能力5分/学习能力4分/团队合作4分 | 360评价：上级A+/同级B | 岗位匹配：中(技能均分3.3) | 分组：零售应用组 | 工作类型：数据分析/需求分析/开发（含模型、应用、数仓等） | 饱和度：83.8%(正常) | 手头项目：智能问数二期、实时开发平台日常运维与功能迭代,服务支持组,"[""金牌催收员用户行为分析，完成数据清洗模块的客群画像"", ""反电诈管理系统用户行为分析，完成API网关模块的客群画像"", ""公共智能体工作站客户经营分析报告撰写，完成任务调度模块的数据洞察""]","[""智能问数二期"", ""实时开发平台日常运维与功能迭代""]","[""数据分析"", ""需求分析"", ""开发（含模型、应用、数仓等）""]","[""AI手机银行""]","{""总体饱和度"": 83.8, ""开发/实施占比"": 48.1, ""会议沟通占比"": 17.3, ""文档撰写占比"": 6.5, ""学习提升占比"": 28.0, ""负荷等级"": ""正常""}",,61,及格,10053,4,17.4,69,92,67,30
12,300012,武洋健,智能应用一部,需求分析,29.0,男,硕士,3.2,2.3,4.01,0,0,0,3,0,3,7.5,1,1,0,1,0,0,0,0,1,卓越贡献奖,1,0,0,0,2,0,1,0,17,是,2,3,3,3,1,4,2,4,3,4,2,1,2,5,3,A+,B,A+,数学,电影,武洋健（智能应用一部/需求分析） | 男，29.0岁，硕士，行龄3.2年 | 绩效4.01分，日均工时7.5h，牵头项目3个 | 角色：组长/骨干、重点项目成员、内部PM | 最强技能：应用开发能力(4分)、编程与工程实现(4分)、算法模型开发能力(3分) | 软技能：领导力5分/团队合作3分/学习能力2分 | 360评价：上级A+/同级B | 分组：服务支持组 | 工作类型：需求分析/项目管理（含外包管理）/数据分析 | 饱和度：110%(高负荷) | 手头项目：反诈机器学习模型、新行员培训项目、绿色金融业务管理日常运维与功能迭代,零售应用组,"[""组织信用卡智能后督业务培训，完成可视化组件的操作手册编写"", ""联机服务集群业务流程梳理，完成用户权限模块的原型设计与验证"", ""极客大赛需求评审会议组织，完成前端展示层的需求澄清与确认"", ""数据采集工具业务流程梳理，完成前端展示层的原型设计与验证"", ""尽调报告助手业务流程梳理，完成缓存层的原型设计与验证""]","[""反诈机器学习模型"", ""新行员培训项目"", ""绿色金融业务管理日常运维与功能迭代""]","[""需求分析"", ""项目管理（含外包管理）"", ""数据分析""]","[""授信政策管理系统""]","{""总体饱和度"": 110, ""开发/实施占比"": 42.2, ""会议沟通占比"": 24.9, ""文档撰写占比"": 13.8, ""学习提升占比"": 19.1, ""负荷等级"": ""高负荷""}",,64,及格,6417,2,17.1,99,73,76,66
13,300013,石森山,信息统计部,数据分析,24.0,男,硕士,0.6,5.0,3.19,0,0,1,4,3,2,6.0,1,0,0,1,0,0,0,1,1,质量之星,2,0,0,3,0,0,0,0,21,否,3,3,2,2,3,2,5,5,4,3,4,2,5,2,4,B-,A+,A-,培训,阅读,石森山（信息统计部/数据分析） | 男，24.0岁，硕士，行龄0.6年 | 绩效3.19分，日均工时6.0h，牵头项目2个 | 角色：组长/骨干、内部PM | 最强技能：技术架构设计(5分)、应用开发能力(5分)、数学与建模理论基础(4分) | 软技能：任务拆解能力5分/学习能力4分/团队合作4分 | 360评价：上级B-/同级A+ | 岗位匹配：低-错配风险(技能均分2.7) | 分组：服务支持组 | 工作类型：数据分析/需求分析/开发（含模型、应用、数仓等） | 饱和度：71.5%(正常) | 手头项目：零售客户分群、大模型智能体日常运维与功能迭代,管理信息组,"[""信用卡智能后督数据需求调研，输出监控告警模块分析结论"", ""数据运维平台客户经营分析报告撰写，完成模型训练层的数据洞察"", ""DWS数据集群用户行为分析，完成向量检索模块的客群画像"", ""冷热分离工具用户行为分析，完成Prompt管理模块的客群画像""]","[""零售客户分群"", ""大模型智能体日常运维与功能迭代""]","[""数据分析"", ""需求分析"", ""开发（含模型、应用、数仓等）""]","[""Hadoop集群""]","{""总体饱和度"": 71.5, ""开发/实施占比"": 65.0, ""会议沟通占比"": 12.9, ""文档撰写占比"": 14.2, ""学习提升占比"": 7.9, ""负荷等级"": ""正常""}",,44,不及格,7893,1,20.6,99,66,76,67
14,300014,赵波,智能应用一部,数据分析,26.5,女,本科,3.9,6.6,3.93,1,0,2,1,0,2,10.2,0,0,0,0,0,0,0,0,2,创新奖,4,0,0,4,0,0,1,0,22,否,5,1,5,4,2,4,3,4,3,3,3,5,3,3,2,A+,B-,A+,数学,羽毛球,赵波（智能应用一部/数据分析） | 女，26.5岁，本科，行龄3.9年 | 绩效3.93分，日均工时10.2h，牵头项目2个 | 最强技能：数据分析工具运用能力(5分)、营销运营能力(5分)、SQL开发(4分) | 软技能：创新思维5分/学习能力3分/任务拆解能力3分 | 360评价：上级A+/同级B- | 岗位匹配：中(技能均分3.7) | 分组：项目管理团队 | 工作类型：数据分析/开发（含模型、应用、数仓等）/需求分析 | 饱和度：106%(高负荷) | 手头项目：长文本智能分析、超级工作台MVP、绿色金融业务管理日常运维与功能迭代,AI产品运营组,"[""智能外呼分析客户经营分析报告撰写，完成知识图谱模块的数据洞察"", ""参与A模式POC验证数据分析专项，完成向量检索模块的深度挖掘"", ""Hadoop数据仓库数据可视化看板搭建，完成数据清洗模块的实时监测"", ""实时数据集群A/B测试方案设计，完成指标计算模块的效果评估"", ""知识库问答系统数据可视化看板搭建，完成推理服务层的实时监测""]","[""长文本智能分析"", ""超级工作台MVP"", ""绿色金融业务管理日常运维与功能迭代""]","[""数据分析"", ""开发（含模型、应用、数仓等）"", ""需求分析""]","[""数据脱敏工具""]","{""总体饱和度"": 106, ""开发/实施占比"": 66.9, ""会议沟通占比"": 20.8, ""文档撰写占比"": 14.8, ""学习提升占比"": 0, ""负荷等级"": ""高负荷""}",,53,不及格,12571,1,27.5,96,44,81,98
15,300015,高勇国,信息统计部,应用研发,28.2,女,硕士,5.0,2.6,2.97,0,1,0,1,0,0,9.2,0,1,0,0,0,0,0,0,0,无,2,1,0,1,2,0,0,1,21,否,3,2,4,4,4,3,5,3,3,3,2,2,1,4,4,A-,B,A-,编程,跑步,高勇国（信息统计部/应用研发） | 女，28.2岁，硕士，行龄5.0年 | 绩效2.97分，日均工时9.2h，牵头项目0个 | 角色：重点项目成员 | 最强技能：技术架构设计(5分)、营销运营能力(4分)、SQL开发(4分) | 软技能：领导力4分/团队合作4分/学习能力2分 | 360评价：上级A-/同级B | 岗位匹配：高(技能均分4.0) | 分组：测试管理组 | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：100%(高负荷) | 手头项目：East数据质量AI分析、Kafka消息集群日常运维与功能迭代,监管统计组,"[""长文本智能分析性能优化，完成用户权限模块的并发处理能力提升"", ""长文本智能分析后端服务开发，完成Prompt管理模块的接口设计与实现"", ""DWS数据集群性能优化，完成特征工程模块的并发处理能力提升"", ""数据测试平台容器化部署，完成向量检索模块的CI/CD流程配置""]","[""East数据质量AI分析"", ""Kafka消息集群日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""数据脱敏工具"", ""智能数据血缘分析工具""]","{""总体饱和度"": 100, ""开发/实施占比"": 49.2, ""会议沟通占比"": 20.1, ""文档撰写占比"": 13.9, ""学习提升占比"": 16.7, ""负荷等级"": ""高负荷""}",,53,不及格,5734,0,37.1,88,70,66,77
16,300016,石涵,数据开发部,架构管理,34.7,女,本科,2.3,4.2,3.95,1,1,2,2,1,0,7.7,0,1,0,1,0,1,0,0,0,无,2,0,0,2,1,0,1,0,11,是,4,3,2,2,5,4,4,3,2,3,3,4,2,1,4,A-,A,B-,设计,绘画,石涵（数据开发部/架构管理） | 女，34.7岁，本科，行龄2.3年 | 绩效3.95分，日均工时7.7h，牵头项目0个 | 角色：重点项目成员、内部PM | 最强技能：数据模型设计(5分)、数据分析工具运用能力(4分)、技术架构设计(4分) | 软技能：创新思维4分/团队合作4分/学习能力3分 | 360评价：上级A-/同级A | 岗位匹配：中(技能均分3.5) | 分组：服务支持组 | 工作类型：架构设计/项目管理（含外包管理）/技术评审 | 饱和度：76.3%(正常) | 手头项目：East数据质量AI分析、新行员培训项目、A模式POC验证、智能数据血缘分析工具日常运维与功能迭代,数仓开发组,"[""组织智能外呼分析技术分享，完成特征工程模块的知识沉淀"", ""大模型客服技改架构治理，输出消息队列模块的架构规范与标准"", ""智能外呼分析技术选型评估，完成报表生成模块的POC验证与决策"", ""智能尽调助手安全架构评审，完成特征工程模块的合规性检查""]","[""East数据质量AI分析"", ""新行员培训项目"", ""A模式POC验证"", ""智能数据血缘分析工具日常运维与功能迭代""]","[""架构设计"", ""项目管理（含外包管理）"", ""技术评审""]","[""长文本智能分析"", ""AI手机银行""]","{""总体饱和度"": 76.3, ""开发/实施占比"": 61.6, ""会议沟通占比"": 14.7, ""文档撰写占比"": 14.4, ""学习提升占比"": 9.2, ""负荷等级"": ""正常""}",,60,及格,10145,2,10.9,63,64,85,50
17,300017,傅鹏若,数据治理部,项目管理,31.8,女,本科,0.2,4.7,3.59,0,1,1,4,0,3,8.1,0,0,0,0,0,0,1,0,1,银雁奖,1,0,0,0,2,1,2,0,21,否,5,4,4,5,2,3,5,4,3,5,5,2,2,4,2,A,B,A-,项目管理,游戏,傅鹏若（数据治理部/项目管理） | 女，31.8岁，本科，行龄0.2年 | 绩效3.59分，日均工时8.1h，牵头项目3个 | 最强技能：数据分析工具运用能力(5分)、SQL开发(5分)、技术架构设计(5分) | 软技能：学习能力5分/领导力4分/创新思维2分 | 360评价：上级A/同级B | 分组：数据服务组 | 工作类型：项目管理（含外包管理）/需求分析/其他 | 饱和度：89.4%(饱和) | 手头项目：East数据质量AI分析、冷热分离工具日常运维与功能迭代,标准质量组,"[""组织信雅达POC项目例会，完成任务调度模块的会议纪要跟踪"", ""外搜接口采购项目计划制定，完成缓存层的里程碑梳理与排期"", ""AI客户经营资源协调，完成前端展示层的跨部门沟通与对齐""]","[""East数据质量AI分析"", ""冷热分离工具日常运维与功能迭代""]","[""项目管理（含外包管理）"", ""需求分析"", ""其他""]","[""智能数据血缘分析工具"", ""实时数据集群""]","{""总体饱和度"": 89.4, ""开发/实施占比"": 49.2, ""会议沟通占比"": 11.4, ""文档撰写占比"": 12.3, ""学习提升占比"": 27.1, ""负荷等级"": ""饱和""}",,60,及格,13228,1,22.6,86,47,50,75
18,300018,郑涵,数据开发部,需求分析,31.4,男,硕士,3.6,4.6,3.78,1,0,0,2,0,3,6.9,0,0,0,0,0,0,0,1,0,无,1,0,2,2,0,0,0,0,30,是,3,2,5,4,2,3,2,5,3,5,3,4,4,1,3,B-,A,A+,写作,烹饪,郑涵（数据开发部/需求分析） | 男，31.4岁，硕士，行龄3.6年 | 绩效3.78分，日均工时6.9h，牵头项目3个 | 最强技能：营销运营能力(5分)、应用开发能力(5分)、编程与工程实现(5分) | 软技能：创新思维4分/任务拆解能力4分/学习能力3分 | 360评价：上级B-/同级A | 分组：模型设计组 | 工作类型：需求分析/项目管理（含外包管理）/数据分析 | 饱和度：84.9%(正常) | 手头项目：East数据质量AI分析、综合监管报送日常运维与功能迭代,模型设计组,"[""授信政策管理系统业务流程梳理，完成数据清洗模块的原型设计与验证"", ""智能外呼分析用户访谈与痛点分析，输出日志审计模块的需求规格说明书"", ""组织智能外呼分析业务培训，完成API网关模块的操作手册编写"", ""流水鉴真系统业务流程梳理，完成测试框架的原型设计与验证"", ""组织信贷场景MVP业务培训，完成前端展示层的操作手册编写""]","[""East数据质量AI分析"", ""综合监管报送日常运维与功能迭代""]","[""需求分析"", ""项目管理（含外包管理）"", ""数据分析""]","[""Hadoop数据仓库"", ""离线数据开发""]","{""总体饱和度"": 84.9, ""开发/实施占比"": 60.9, ""会议沟通占比"": 19.3, ""文档撰写占比"": 13.7, ""学习提升占比"": 6.1, ""负荷等级"": ""正常""}",,63,及格,9001,1,23.5,79,57,99,74
19,300019,白海,信息统计部,项目管理,34.6,女,硕士,4.1,3.9,2.93,0,1,2,1,1,1,9.8,0,1,0,1,0,0,0,1,1,银雁奖,0,0,2,2,1,2,0,1,19,是,3,3,2,3,4,4,2,4,5,2,3,4,5,5,3,A+,B-,A+,数据分析,阅读,白海（信息统计部/项目管理） | 女，34.6岁，硕士，行龄4.1年 | 绩效2.93分，日均工时9.8h，牵头项目1个 | 角色：重点项目成员、内部PM | 最强技能：数学与建模理论基础(5分)、数据模型设计(4分)、应用开发能力(4分) | 软技能：任务拆解能力5分/领导力5分/创新思维4分 | 360评价：上级A+/同级B- | 分组：监管统计组 | 工作类型：项目管理（含外包管理）/需求分析/其他 | 饱和度：103%(高负荷) | 手头项目：反诈机器学习模型、新行员培训项目、信雅达POC、客服助手日常运维与功能迭代,监管统计组,"[""A模式POC验证预算管理，完成数据清洗模块的费用核算与控制"", ""智能问数二期外包管理，完成缓存层的供应商评估与验收"", ""火山引擎POC进度跟踪与风险预警，完成推理服务层的周报汇总"", ""组织极客大赛项目例会，完成报表生成模块的会议纪要跟踪"", ""知识库问答体系建设进度跟踪与风险预警，完成用户权限模块的周报汇总""]","[""反诈机器学习模型"", ""新行员培训项目"", ""信雅达POC"", ""客服助手日常运维与功能迭代""]","[""项目管理（含外包管理）"", ""需求分析"", ""其他""]","[""DWS数据集群"", ""数据采集工具""]","{""总体饱和度"": 103, ""开发/实施占比"": 46.1, ""会议沟通占比"": 24.6, ""文档撰写占比"": 12.4, ""学习提升占比"": 17.0, ""负荷等级"": ""高负荷""}",,43,不及格,10626,1,31.6,62,87,78,79
20,300020,汪思,信息统计部,数据研发,29.8,女,硕士,4.0,5.1,3.07,0,0,1,3,1,1,10.0,0,1,0,0,0,1,0,1,0,无,0,1,0,3,0,2,1,1,17,否,3,5,4,4,3,5,4,5,3,3,2,3,4,3,3,B,A+,A-,培训,烹饪,汪思（信息统计部/数据研发） | 女，29.8岁，硕士，行龄4.0年 | 绩效3.07分，日均工时10.0h，牵头项目1个 | 角色：重点项目成员 | 最强技能：算法模型开发能力(5分)、应用开发能力(5分)、营销运营能力(4分) | 软技能：任务拆解能力4分/创新思维3分/领导力3分 | 360评价：上级B/同级A+ | 岗位匹配：高(技能均分4.0) | 分组：数据安全组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：103%(高负荷) | 手头项目：East数据质量AI分析、公共智能体工作站日常运维与功能迭代,管理信息组,"[""大模型智能体数据模型设计与开发，完成数据清洗模块的ETL流程优化"", ""授信政策管理系统数据接口开发，完成特征工程模块的API联调与测试"", ""大模型智能体SQL性能调优，解决API网关模块慢查询问题"", ""实时开发平台SQL性能调优，解决特征工程模块慢查询问题"", ""客户经理超级工作台实时数据链路开发，完成指标计算模块的流式计算任务""]","[""East数据质量AI分析"", ""公共智能体工作站日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""Hadoop集群""]","{""总体饱和度"": 103, ""开发/实施占比"": 44.3, ""会议沟通占比"": 22.9, ""文档撰写占比"": 8.7, ""学习提升占比"": 24.1, ""负荷等级"": ""高负荷""}",,94,优秀,7018,1,12.5,73,76,76,79
21,300021,邹秀英,机构服务团队,数据研发,32.4,男,硕士,5.7,4.6,3.8,1,0,2,1,1,0,8.2,0,0,0,0,1,0,0,1,0,无,0,0,1,4,1,1,0,0,22,否,3,5,5,2,2,2,3,1,5,3,4,5,4,4,3,B-,B,A,英语,跑步,邹秀英（机构服务团队/数据研发） | 男，32.4岁，硕士，行龄5.7年 | 绩效3.8分，日均工时8.2h，牵头项目0个 | 角色：外部PM | 最强技能：算法模型开发能力(5分)、营销运营能力(5分)、数学与建模理论基础(5分) | 软技能：创新思维5分/学习能力4分/任务拆解能力4分 | 360评价：上级B-/同级B | 岗位匹配：低-错配风险(技能均分2.0) | 分组：架构安全组 | 工作类型：开发（含模型、应用、数仓等）/测试/数据治理 | 饱和度：81.9%(正常) | 手头项目：A模式POC验证、AI客户经营、East数据质量AI分析、数据安全脱敏网关系统日常运维与功能迭代,分行BP,"[""大模型智能体数据模型设计与开发，完成指标计算模块的ETL流程优化"", ""数据安全脱敏网关系统数据接口开发，完成数据清洗模块的API联调与测试"", ""数据安全脱敏网关系统数仓分层建设，完成消息队列模块的数据接入与清洗"", ""参与大模型客服技改数据架构评审，输出数据清洗模块技术方案""]","[""A模式POC验证"", ""AI客户经营"", ""East数据质量AI分析"", ""数据安全脱敏网关系统日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""数据治理""]","[""数据脱敏工具""]","{""总体饱和度"": 81.9, ""开发/实施占比"": 62.6, ""会议沟通占比"": 12.7, ""文档撰写占比"": 7.7, ""学习提升占比"": 17.1, ""负荷等级"": ""正常""}",,72,良好,13814,2,10.4,89,70,69,66
22,300022,曾星,信息管理部,算法工程,30.0,女,本科,1.0,1.3,3.05,1,0,1,3,0,3,9.1,0,0,0,0,0,0,0,1,0,无,0,0,1,1,0,0,1,0,22,否,3,5,5,1,5,4,3,4,4,2,4,4,4,1,2,B+,B+,A+,数学,阅读,曾星（信息管理部/算法工程） | 女，30.0岁，本科，行龄1.0年 | 绩效3.05分，日均工时9.1h，牵头项目3个 | 最强技能：算法模型开发能力(5分)、营销运营能力(5分)、数据模型设计(5分) | 软技能：学习能力4分/创新思维4分/任务拆解能力4分 | 360评价：上级B+/同级B+ | 岗位匹配：中(技能均分3.0) | 分组：项目管理团队 | 工作类型：开发（含模型、应用、数仓等）/项目管理（含外包管理）/数据分析 | 饱和度：103.4%(高负荷) | 手头项目：流水鉴真场景、智能工单场景、长文本智能分析日常运维与功能迭代,服务支持组,"[""East数据质量分析大模型微调训练，完成前端展示层的Prompt工程优化"", ""智能数据血缘分析工具模型效果评估，完成推理服务层的A/B测试与迭代"", ""AI创意比赛算法方案评审，输出用户权限模块的技术可行性分析""]","[""流水鉴真场景"", ""智能工单场景"", ""长文本智能分析日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""项目管理（含外包管理）"", ""数据分析""]","[""数据安全脱敏网关系统"", ""大模型智能体""]","{""总体饱和度"": 103.4, ""开发/实施占比"": 62.1, ""会议沟通占比"": 11.6, ""文档撰写占比"": 6.3, ""学习提升占比"": 20.0, ""负荷等级"": ""高负荷""}",,78,良好,6190,2,27.8,78,47,74,73
23,300023,肖山轩,信息统计部,数据分析,31.8,女,本科,4.6,5.4,3.74,0,0,1,3,0,2,8.3,0,0,0,1,0,0,0,0,1,银雁奖,1,1,1,0,0,0,0,0,26,是,4,5,5,2,4,3,4,5,3,1,2,4,3,5,5,B-,A+,B,设计,游泳,肖山轩（信息统计部/数据分析） | 女，31.8岁，本科，行龄4.6年 | 绩效3.74分，日均工时8.3h，牵头项目2个 | 角色：内部PM | 最强技能：算法模型开发能力(5分)、营销运营能力(5分)、应用开发能力(5分) | 软技能：领导力5分/团队合作5分/创新思维4分 | 360评价：上级B-/同级A+ | 岗位匹配：高(技能均分4.7) | 分组：工具开发组 | 工作类型：数据分析/需求分析/开发（含模型、应用、数仓等） | 饱和度：84.5%(正常) | 手头项目：信贷场景MVP、超级工作台MVP、尽调报告助手日常运维与功能迭代,监管统计组,"[""长文本智能分析数据挖掘模型训练，完成日志审计模块的预测分析"", ""反电诈管理系统数据可视化看板搭建，完成缓存层的实时监测"", ""信贷场景MVP客户经营分析报告撰写，完成Prompt管理模块的数据洞察"", ""参与极客大赛数据分析专项，完成指标计算模块的深度挖掘"", ""大模型智能体A/B测试方案设计，完成数据清洗模块的效果评估""]","[""信贷场景MVP"", ""超级工作台MVP"", ""尽调报告助手日常运维与功能迭代""]","[""数据分析"", ""需求分析"", ""开发（含模型、应用、数仓等）""]","[""大模型智能体"", ""Kafka消息集群""]","{""总体饱和度"": 84.5, ""开发/实施占比"": 54.8, ""会议沟通占比"": 22.2, ""文档撰写占比"": 12.4, ""学习提升占比"": 10.7, ""负荷等级"": ""正常""}",,57,不及格,8614,2,30.6,75,85,89,54
24,300024,侯洋娟,数据平台部,需求分析,27.7,女,本科,5.6,5.4,2.84,0,0,1,2,1,4,6.7,0,0,0,1,1,0,1,0,0,无,0,0,0,2,0,0,0,0,15,是,3,3,3,3,3,4,5,3,3,2,3,2,1,5,1,A+,A,A-,培训,音乐,侯洋娟（数据平台部/需求分析） | 女，27.7岁，本科，行龄5.6年 | 绩效2.84分，日均工时6.7h，牵头项目4个 | 角色：内部PM、外部PM | 最强技能：技术架构设计(5分)、数据分析工具运用能力(3分)、算法模型开发能力(3分) | 软技能：领导力5分/学习能力3分/创新思维2分 | 360评价：上级A+/同级A | 分组：标准质量组 | 工作类型：需求分析/项目管理（含外包管理）/数据分析 | 饱和度：80.9%(正常) | 手头项目：AI客户经营、信用卡智能后督、数据安全脱敏网关系统日常运维与功能迭代,架构安全组,"[""数据运维平台竞品分析，完成任务调度模块的功能对标与差距分析"", ""知识库问答系统竞品分析，完成指标计算模块的功能对标与差距分析"", ""组织NL2SQL产品POC业务培训，完成API网关模块的操作手册编写"", ""智能外呼分析业务流程梳理，完成任务调度模块的原型设计与验证""]","[""AI客户经营"", ""信用卡智能后督"", ""数据安全脱敏网关系统日常运维与功能迭代""]","[""需求分析"", ""项目管理（含外包管理）"", ""数据分析""]","[""智能数据血缘分析工具"", ""公共智能体工作站""]","{""总体饱和度"": 80.9, ""开发/实施占比"": 41.3, ""会议沟通占比"": 16.4, ""文档撰写占比"": 10.0, ""学习提升占比"": 32.4, ""负荷等级"": ""正常""}",,76,良好,11620,4,14.0,83,90,87,77
25,300025,田明辉,信息管理部,架构管理,22.0,女,本科,0.2,2.3,3.93,1,0,1,1,3,0,7.7,0,0,0,1,0,1,0,1,0,无,1,0,1,2,1,0,0,0,24,是,4,4,3,3,4,3,1,5,4,4,3,2,1,3,4,A-,A+,A,设计,绘画,田明辉（信息管理部/架构管理） | 女，22.0岁，本科，行龄0.2年 | 绩效3.93分，日均工时7.7h，牵头项目0个 | 角色：内部PM | 最强技能：应用开发能力(5分)、数据分析工具运用能力(4分)、算法模型开发能力(4分) | 软技能：团队合作4分/学习能力3分/领导力3分 | 360评价：上级A-/同级A+ | 岗位匹配：中(技能均分3.0) | 分组：对公应用组 | 工作类型：架构设计/技术评审/项目管理（含外包管理） | 饱和度：71.7%(正常) | 手头项目：知识库问答体系建设、尽调报告助手日常运维与功能迭代,服务支持组,"[""Openclaw框架调研架构治理，输出测试框架的架构规范与标准"", ""通用办公助手架构治理，输出推理服务层的架构规范与标准"", ""绿色金融业务管理安全架构评审，完成缓存层的合规性检查"", ""绿色金融业务管理技术选型评估，完成缓存层的POC验证与决策""]","[""知识库问答体系建设"", ""尽调报告助手日常运维与功能迭代""]","[""架构设计"", ""技术评审"", ""项目管理（含外包管理）""]","[""会话式人工智能服务""]","{""总体饱和度"": 71.7, ""开发/实施占比"": 57.5, ""会议沟通占比"": 15.6, ""文档撰写占比"": 13.5, ""学习提升占比"": 13.4, ""负荷等级"": ""正常""}",,71,良好,11035,1,15.1,76,99,42,77
26,300026,唐玉紫,智能平台部,负责人,29.9,男,本科,3.8,3.8,2.91,2,0,0,1,1,1,8.2,0,0,0,0,0,1,0,1,2,年度之星,1,1,0,2,1,0,1,1,23,否,2,3,1,4,4,4,3,4,5,5,4,2,3,4,3,A,A-,B-,数据分析,音乐,唐玉紫（智能平台部/负责人） | 男，29.9岁，本科，行龄3.8年 | 绩效2.91分，日均工时8.2h，牵头项目1个 | 最强技能：数学与建模理论基础(5分)、编程与工程实现(5分)、SQL开发(4分) | 软技能：学习能力4分/领导力4分/任务拆解能力3分 | 360评价：上级A/同级A- | 分组：非零BP | 工作类型：项目管理（含外包管理）/需求分析/其他 | 饱和度：80.4%(正常) | 手头项目：信贷场景MVP、长文本智能分析日常运维与功能迭代,AI基础研发组,"[""智能问数二期人才梯队建设，完成消息队列模块的骨干培养计划"", ""反诈机器学习模型人才梯队建设，完成API网关模块的骨干培养计划"", ""通用办公助手人才梯队建设，完成指标计算模块的骨干培养计划""]","[""信贷场景MVP"", ""长文本智能分析日常运维与功能迭代""]","[""项目管理（含外包管理）"", ""需求分析"", ""其他""]","[""金牌催收员""]","{""总体饱和度"": 80.4, ""开发/实施占比"": 69.7, ""会议沟通占比"": 13.4, ""文档撰写占比"": 6.8, ""学习提升占比"": 10.0, ""负荷等级"": ""正常""}",,35,不及格,6112,0,30.9,98,72,80,50
